0,1,2,3,4,5,6,7,8,9,10,11,Action
-2.8512097e-06,3.3552608e-06,1.598866e-06,-1.3942337e-06,-2.0820119e-06,2.7499748e-06,-2.3477912e-06,1.5374363e-07,-2.484787e-07,1.4699236e-06,-5.609089e-06,4.0180992e-05,0
-4.6977384e-06,3.3552124e-06,1.4304406e-06,-3.0726824e-06,-3.0630376e-06,2.2465433e-06,-1.6571563e-07,2.503453e-06,-3.5611086e-07,2.4781623e-06,-3.259393e-06,4.958031e-05,0
-2.683734e-06,4.0265595e-06,9.263165e-07,-5.4225256e-06,-3.6959104e-06,1.2395682e-06,2.3520608e-06,5.5245596e-06,-2.4456057e-07,2.4793057e-06,-7.045269e-08,4.706233e-05,0
2.1837066e-06,2.8515665e-06,7.578904e-07,-6.5974273e-06,-3.9371225e-06,1.5753852e-06,2.0164005e-06,5.1886814e-06,1.0944499e-06,2.8161485e-06,1.4399948e-06,3.1787815e-05,0
4.1977114e-06,6.6947626e-07,1.7644086e-06,-5.422437e-06,-5.6529434e-06,7.3625955e-07,8.4149485e-07,8.244234e-07,1.1547502e-06,2.8172933e-06,9.700835e-08,1.3995555e-05,0
2.3511834e-06,1.0051267e-06,1.9316801e-06,-3.9117494e-06,-7.098318e-06,-2.452757e-06,-5.0126374e-07,-3.2041373e-06,1.0985262e-06,8.042476e-07,-1.2459809e-06,1.070927e-06,0
-8.381373e-07,2.683569e-06,2.2668005e-06,-2.90461e-06,-7.530922e-06,-4.802528e-06,-6.6907546e-07,-3.0364663e-06,4.2318692e-07,-1.3766469e-06,-1.4140239e-06,-9.335962e-06,0
-2.6846637e-06,1.5085739e-06,2.098373e-06,-2.4010167e-06,-7.581482e-06,-5.1381057e-06,-5.011893e-07,-3.2044934e-06,-1.1949215e-06,-7.041036e-07,4.3212424e-07,-1.48752215e-05,0
-7.048931e-06,6.6927646e-07,2.9370403e-06,-2.400972e-06,-9.2598e-06,-2.4523965e-06,-3.0188921e-06,-5.55456e-06,-2.9295627e-06,8.076864e-07,2.7818185e-06,-2.1757274e-05,0
-1.22524425e-05,6.6922587e-07,3.2721596e-06,-3.0723265e-06,-8.802642e-06,6.546199e-08,-7.718633e-06,-7.0653805e-06,-3.2693633e-06,1.4802306e-06,2.781625e-06,-3.4346198e-05,0
-1.2588325e-05,1.172724e-06,1.7609369e-06,-2.5687332e-06,-5.0281456e-06,1.4083769e-06,-9.397088e-06,-7.401256e-06,-3.041046e-06,2.488474e-06,1.2707887e-06,-4.20675e-05,0
-9.567222e-06,2.0119178e-06,-4.2168307e-07,-2.0651405e-06,-1.1259422e-06,2.415594e-06,-6.5436134e-06,-6.2264876e-06,-2.2578758e-06,3.6645667e-06,5.9919955e-07,-4.1228483e-05,0
-7.217519e-06,2.1797155e-06,-1.0936604e-06,-3.072193e-06,-1.3285505e-06,3.9263573e-06,-2.5151933e-06,-3.876775e-06,-1.5907397e-06,4.1692633e-06,1.1025535e-06,-3.7703878e-05,0
-6.210606e-06,-2.3753453e-09,-2.549949e-07,-4.4149406e-06,-2.3736345e-06,4.765726e-06,6.739754e-07,-6.878145e-07,-1.1944898e-06,2.8276188e-06,9.345117e-07,-3.7704107e-05,0
-4.8679963e-06,-2.0166183e-06,-1.5983699e-06,-3.575651e-06,-1.8674983e-06,5.940792e-06,1.3454121e-06,-1.6592757e-08,-1.5861891e-06,-1.9251769e-07,1.4378661e-06,-4.223627e-05,0
-2.853989e-06,-1.6809726e-06,-4.284539e-06,-3.0720594e-06,-3.456895e-07,6.780161e-06,3.3835073e-07,-1.0238641e-06,-1.0870614e-06,-1.3663121e-06,2.1090716e-06,-4.542563e-05,0
-2.6863233e-06,5.0101494e-07,-3.613724e-06,-3.0720148e-06,-2.7476423e-07,4.2625456e-06,-1.8436507e-06,-2.3668322e-06,-3.5502853e-07,-1.3651612e-06,2.1088792e-06,-4.2740267e-05,0
-8.393381e-06,2.6830032e-06,-2.4393617e-06,-2.0648733e-06,7.2290254e-07,1.2413811e-06,-1.1722183e-06,-2.1991577e-06,-1.0823527e-06,-1.5318587e-06,1.9408383e-06,-3.653007e-05,0
-1.5611082e-05,4.361441e-06,-1.9363963e-06,-7.2203466e-07,3.0535386e-06,9.05806e-07,1.3455582e-06,-1.5279346e-06,-1.5904803e-06,-2.8735008e-06,1.9406464e-06,-2.7969985e-05,0
-1.6954058e-05,5.368484e-06,-2.1048286e-06,-3.8629204e-07,3.82521e-06,9.059292e-07,3.0240856e-06,-2.870902e-06,-1.8654595e-06,-3.5437456e-06,-7.451344e-07,-2.2934732e-05,0
-1.24223125e-05,5.704128e-06,-3.1125076e-06,2.8514856e-07,1.2401183e-06,-1.0104337e-07,2.8562727e-06,-4.549568e-06,-1.7534627e-06,-4.549688e-06,-2.08812e-06,-2.2599255e-05,0
-8.394111e-06,4.6969803e-06,-3.6166389e-06,-3.8620283e-07,-2.3963069e-06,-3.1222066e-06,4.366954e-06,-7.0674796e-06,-2.4295987e-06,-4.8842335e-06,5.972776e-07,-2.1088834e-05,0
-5.2051596e-06,3.354132e-06,-2.2744289e-06,-1.0575562e-06,-3.7921657e-06,-3.7934788e-06,6.04548e-06,-6.8998033e-06,-3.0401916e-06,-5.554476e-06,2.1077294e-06,-1.2864443e-05,0
4.194216e-06,3.5219268e-06,7.4875906e-08,-3.8611356e-07,-1.8328627e-06,-1.7791646e-06,5.37412e-06,-8.5740265e-07,-2.424574e-06,-8.071061e-06,1.2682914e-06,-1.2830664e-06,0
1.9132616e-05,5.368213e-06,1.0813866e-06,6.210261e-07,8.8739694e-07,1.2422469e-06,2.520718e-06,5.017148e-06,-4.152803e-07,-9.412699e-06,-1.2496374e-06,7.2770254e-06,0
2.702135e-05,4.193213e-06,-9.333895e-07,-8.8957125e-07,1.5771524e-06,2.2494655e-06,3.3871285e-07,5.856223e-06,1.3240996e-06,-7.733052e-06,-1.5855261e-06,1.9194104e-05,0
2.0978596e-05,3.3262597e-07,-3.619563e-06,-1.3930755e-06,1.0956053e-06,1.4103456e-06,-1.1718934e-06,2.1633678e-06,1.1005448e-06,-3.8713633e-06,-1.2500186e-06,3.2286127e-05,0
1.0403913e-05,-1.1780725e-06,-2.6130535e-06,-5.537839e-07,3.628819e-06,1.4104709e-06,-2.0111027e-06,-1.8651845e-06,-5.830052e-07,-1.352469e-06,-2.257305e-06,3.547505e-05,0
3.186214e-06,3.3251476e-07,4.0764664e-07,-5.0192217e-08,6.1705914e-06,9.070493e-07,-3.3257598e-07,-4.215244e-06,-1.8485002e-08,-1.3513122e-06,-3.2645892e-06,2.7082368e-05,0
-5.0664966e-07,3.3245874e-07,2.7569495e-06,4.5339948e-07,5.7049715e-06,6.792803e-08,1.6816516e-06,-3.544018e-06,2.4436222e-06,-2.5250993e-06,-3.600478e-06,1.3654215e-05,0
-1.513926e-06,-3.2955294e-09,2.4206638e-06,9.569932e-07,2.1092442e-06,2.3590302e-07,1.6816871e-06,-3.2084893e-06,4.1168973e-06,-2.5239417e-06,-5.1113107e-06,1.568855e-06,0
6.6793484e-07,-5.068991e-07,-6.0120993e-07,2.8563989e-07,-1.1185181e-06,1.9145214e-06,3.3892653e-07,-4.2157544e-06,3.3387084e-06,-2.5227835e-06,-4.1044063e-06,-2.4597387e-06,0
2.849795e-06,-2.185449e-06,-2.9516868e-06,-2.0642035e-06,-7.18849e-07,2.4181968e-06,-8.359821e-07,-2.3695818e-06,2.4439041e-06,-2.5216248e-06,-2.5939516e-06,2.2563738e-07,0
2.5139161e-06,-2.353356e-06,-2.280878e-06,-3.2391047e-06,1.3684205e-06,2.4183234e-06,-3.0179879e-06,-1.8771124e-07,2.4385276e-06,-2.0169182e-06,-2.76199e-06,4.5895063e-06,0
2.1780388e-06,-6.7492033e-07,-1.6100696e-06,-2.735512e-06,1.6531482e-06,2.4184505e-06,-6.3749358e-06,-1.3628242e-06,2.6675186e-06,-1.3443616e-06,-3.433575e-06,6.9391854e-06,0
2.1778594e-06,-1.3463759e-06,-6.035631e-07,-2.0640691e-06,1.4840006e-06,1.0757838e-06,-7.2141474e-06,-2.8736354e-06,2.4441845e-06,-1.5110505e-06,-3.4337638e-06,9.624565e-06,0
-3.1934956e-06,-3.864171e-06,1.4100386e-06,-2.0640243e-06,2.6402006e-07,-2.6688275e-07,-6.7105634e-06,-2.5381046e-06,9.280053e-07,-1.1741917e-06,-1.2519135e-06,1.2142094e-05,0
